date,AOR
2021-08-03,55.2719
2021-08-04,55.0849
2021-08-05,55.3015
2021-08-06,55.0849
2021-08-09,55.1146
2021-08-10,55.0949
2021-08-11,55.3213
2021-08-12,55.3311
2021-08-13,55.4577
2021-08-16,55.3895
2021-08-17,55.0088
2021-08-18,54.8714
2021-08-19,54.724
2021-08-20,54.8318
2021-08-23,55.2619
2021-08-24,55.3411
2021-08-25,55.3411
2021-08-26,55.2224
2021-08-27,55.5942
2021-08-30,55.7415
2021-08-31,55.7593
2021-09-01,55.8384
2021-09-02,55.877
2021-09-03,55.9452
2021-09-07,55.877
2021-09-08,55.7316
2021-09-09,55.7118
2021-09-10,55.4281
2021-09-13,55.5744
2021-09-14,55.3697
2021-09-15,55.6723
2021-09-16,55.5448
2021-09-17,55.1443
2021-09-20,54.5886
2021-09-21,54.6479
2021-09-22,55.0849
2021-09-23,55.3697
2021-09-24,55.1937
2021-09-27,55.0088
2021-09-28,54.3147
2021-09-29,54.3245
2021-09-30,54.1684
2021-10-01,54.4907
2021-10-04,54.0496
2021-10-05,54.2563
2021-10-06,54.2168
2021-10-07,54.461
2021-10-08,54.3829
2021-10-11,54.2563
2021-10-12,54.2563
2021-10-13,54.5104
2021-10-14,55.0682
2021-10-15,55.1166
2021-10-18,55.0682
2021-10-19,55.3816
2021-10-20,55.5576
2021-10-21,55.3915
2021-10-22,55.4499
2021-10-25,55.5872
2021-10-26,55.705
2021-10-27,55.5972
2021-10-28,55.782
2021-10-29,55.705
2021-11-01,55.881
2021-11-02,55.9294
2021-11-03,56.135
2021-11-04,56.2923
2021-11-05,56.4673
2021-11-08,56.5563
2021-11-09,56.487
2021-11-10,56.0768
2021-11-11,56.1252
2021-11-12,56.2923
2021-11-15,56.311
2021-11-16,56.2923
2021-11-17,56.1736
2021-11-18,56.2725
2021-11-19,56.1934
2021-11-22,55.881
2021-11-23,55.8117
2021-11-24,55.9492
2021-11-26,55.1166
2021-11-29,55.3816
2021-11-30,55.0484
2021-12-01,54.6083
2021-12-02,55.254
2021-12-03,54.9603
2021-12-06,55.3816
2021-12-07,55.9096
2021-12-08,55.9393
2021-12-09,55.8117
2021-12-10,55.8998
2021-12-13,55.7247
2021-12-14,55.3915
2021-12-15,55.7534
2021-12-16,55.705
2021-12-17,55.4499
2021-12-20,55.0295
2021-12-21,55.4983
2021-12-22,55.8216
2021-12-23,56.0094
2021-12-27,56.4436
2021-12-28,56.4436
2021-12-29,56.3843
2021-12-30,56.4139
2021-12-31,56.2853
2022-01-03,56.3744
2022-01-04,56.3843
2022-01-05,55.7524
2022-01-06,55.6841
2022-01-07,55.5952
2022-01-10,55.4766
2022-01-11,55.8513
2022-01-12,56.1173
2022-01-13,55.7524
2022-01-14,55.5754
2022-01-18,54.9544
2022-01-19,54.8061
2022-01-20,54.55
2022-01-21,54.0467
2022-01-24,54.0269
2022-01-25,53.6621
2022-01-26,53.3368
2022-01-27,53.1399
2022-01-28,53.7213
2022-01-31,54.3819
2022-02-01,54.5796
2022-02-02,54.8358
2022-02-03,54.1455
2022-02-04,54.0961
2022-02-07,54.1159
2022-02-08,54.2643
2022-02-09,54.8258
2022-02-10,54.1455
2022-02-11,53.7213
2022-02-14,53.5443
2022-02-15,53.9775
2022-02-16,54.0961
2022-02-17,53.5246
2022-02-18,53.3565
2022-02-22,52.8542
2022-02-23,52.5289
2022-02-24,52.4695
2022-02-25,53.2388
2022-02-28,53.2972
2022-03-01,52.6465
2022-03-02,53.0115
2022-03-03,52.6565
2022-03-04,52.2817
2022-03-07,51.197
2022-03-08,51.1574
2022-03-09,51.9761
2022-03-10,51.6903
2022-03-11,51.2662
2022-03-14,50.9705
2022-03-15,51.4244
2022-03-16,52.4596
2022-03-17,52.7948
2022-03-18,53.1893
2022-03-21,52.8937
2022-03-22,53.1795
2022-03-23,52.8048
2022-03-24,53.1696
2022-03-25,53.0806
2022-03-28,53.2092
2022-03-29,53.8401
2022-03-30,53.7313
2022-03-31,53.2092
2022-04-01,53.4356
2022-04-04,53.6136
2022-04-05,52.9906
2022-04-06,52.605
2022-04-07,52.6346
2022-04-08,52.516
2022-04-11,52.0117
2022-04-12,51.8436
2022-04-13,52.2589
2022-04-14,51.8239
2022-04-18,51.7051
2022-04-19,51.9227
2022-04-20,52.0908
2022-04-21,51.6063
2022-04-22,50.8053
2022-04-25,51.0031
2022-04-26,50.1824
2022-04-27,50.1824
2022-04-28,50.7856
2022-04-29,49.9945
2022-05-02,49.9747
2022-05-03,50.1922
2022-05-04,51.0031
2022-05-05,49.7967
2022-05-06,49.4704
2022-05-09,48.5509
2022-05-10,48.7289
2022-05-11,48.4322
2022-05-12,48.3827
2022-05-13,49.0947
2022-05-16,49.0848
2022-05-17,49.5199
2022-05-18,48.6102
2022-05-19,48.7486
2022-05-20,48.8673
2022-05-23,49.243
2022-05-24,49.1936
2022-05-25,49.4012
2022-05-26,49.9352
2022-05-27,50.5285
2022-05-31,50.2418
2022-06-01,49.9451
2022-06-02,50.5087
2022-06-03,50.0439
2022-06-06,49.9945
2022-06-07,50.2912
2022-06-08,49.9451
2022-06-09,49.1738
2022-06-10,48.3432
2022-06-13,46.9391
2022-06-14,46.7414
2022-06-15,47.384
2022-06-16,46.5435
2022-06-17,46.5534
2022-06-21,47.0874
2022-06-22,47.0281
2022-06-23,47.3346
2022-06-24,48.0763
2022-06-27,47.8686
2022-06-28,47.4829
2022-06-29,47.5521
2022-06-30,47.4632
2022-07-01,47.6906
2022-07-05,47.5511
2022-07-06,47.4715
2022-07-07,47.8798
2022-07-08,47.8101
2022-07-11,47.5312
2022-07-12,47.4217
2022-07-13,47.3719
2022-07-14,47.093
2022-07-15,47.5711
2022-07-18,47.4814
2022-07-19,48.2085
2022-07-20,48.2683
2022-07-21,48.6667
2022-07-22,48.587
2022-07-25,48.6966
2022-07-26,48.3579
2022-07-27,49.0253
2022-07-28,49.5333
2022-07-29,49.9018
2022-08-01,49.9018
2022-08-02,49.4536
2022-08-03,49.8321
2022-08-04,49.9815
2022-08-05,49.6926
2022-08-08,49.8022
2022-08-09,49.6129
2022-08-10,50.2405
2022-08-11,50.2305
2022-08-12,50.6289
2022-08-15,50.7684
2022-08-16,50.7783
2022-08-17,50.3401
2022-08-18,50.3799
2022-08-19,49.9018
2022-08-22,49.2046
2022-08-23,49.2544
2022-08-24,49.2145
2022-08-25,49.8022
2022-08-26,48.8062
2022-08-29,48.5771
2022-08-30,48.348
2022-08-31,48.0093
2022-09-01,47.8798
2022-09-02,47.6607
2022-09-06,47.3519
2022-09-07,47.9296
2022-09-08,47.9894
2022-09-09,48.5073
2022-09-12,48.7862
2022-09-13,47.6009
2022-09-14,47.6507
2022-09-15,47.3619
2022-09-16,47.1328
2022-09-19,47.2424
